# Master list of all IPs in Fidelis Cybersecurity FTAs and Blogs,,
IP address,description,date added
178.32.166.246,Landing page IP used by Angler,12/17/2015
178.32.166.247,Landing page IP used by Angler,12/17/2015
178.32.92.127,Landing page IP used by Angler,12/17/2015
178.32.95.159,Landing page IP used by Angler,12/17/2015
178.33.200.174,Landing page IP used by Angler,12/17/2015
178.33.200.177,Landing page IP used by Angler,12/17/2015
178.33.200.183,Landing page IP used by Angler,12/17/2015
179.43.128.233,Landing page IP used by Angler,12/17/2015
185.117.152.104,Landing page IP used by Angler,12/17/2015
185.118.64.138,Landing page IP used by Angler,12/17/2015
185.46.10.81,Landing page IP used by Angler,12/17/2015
185.46.10.91,Landing page IP used by Angler,12/17/2015
185.46.8.218,Landing page IP used by Angler,12/17/2015
185.46.9.35,Landing page IP used by Angler,12/17/2015
185.49.68.188,Landing page IP used by Angler,12/17/2015
185.49.69.131,Landing page IP used by Angler,12/17/2015
185.66.10.106,Landing page IP used by Angler,12/17/2015
185.66.10.11,Landing page IP used by Angler,12/17/2015
185.66.10.111,Landing page IP used by Angler,12/17/2015
185.66.10.112,Landing page IP used by Angler,12/17/2015
185.66.10.21,Landing page IP used by Angler,12/17/2015
185.82.217.188,Landing page IP used by Angler,12/17/2015
185.86.149.170,Landing page IP used by Angler,12/17/2015
185.86.76.154,Landing page IP used by Angler,12/17/2015
185.86.76.214,Landing page IP used by Angler,12/17/2015
185.86.76.248,Landing page IP used by Angler,12/17/2015
185.86.77.87,Landing page IP used by Angler,12/17/2015
185.86.79.23,Landing page IP used by Angler,12/17/2015
185.86.79.85,Landing page IP used by Angler,12/17/2015
185.92.222.144,Landing page IP used by Angler,12/17/2015
188.120.225.47,Landing page IP used by Angler,12/17/2015
188.120.231.135,Landing page IP used by Angler,12/17/2015
188.120.231.24,Landing page IP used by Angler,12/17/2015
188.120.232.20,Landing page IP used by Angler,12/17/2015
188.120.234.101,Landing page IP used by Angler,12/17/2015
188.120.241.153,Landing page IP used by Angler,12/17/2015
188.120.247.14,Landing page IP used by Angler,12/17/2015
188.127.231.93,Landing page IP used by Angler,12/17/2015
188.138.102.39,Landing page IP used by Angler,12/17/2015
188.138.25.120,Landing page IP used by Angler,12/17/2015
188.138.33.32,Landing page IP used by Angler,12/17/2015
188.138.57.203,Landing page IP used by Angler,12/17/2015
188.138.70.102,Landing page IP used by Angler,12/17/2015
188.138.70.226,Landing page IP used by Angler,12/17/2015
188.138.70.229,Landing page IP used by Angler,12/17/2015
188.138.70.230,Landing page IP used by Angler,12/17/2015
188.138.70.231,Landing page IP used by Angler,12/17/2015
188.138.70.241,Landing page IP used by Angler,12/17/2015
188.138.70.242,Landing page IP used by Angler,12/17/2015
188.138.70.251,Landing page IP used by Angler,12/17/2015
188.138.70.98,Landing page IP used by Angler,12/17/2015
188.138.75.28,Landing page IP used by Angler,12/17/2015
188.209.52.26,Landing page IP used by Angler,12/17/2015
188.240.47.168,Landing page IP used by Angler,12/17/2015
188.40.253.57,Landing page IP used by Angler,12/17/2015
188.40.253.58,Landing page IP used by Angler,12/17/2015
188.40.253.59,Landing page IP used by Angler,12/17/2015
188.40.253.60,Landing page IP used by Angler,12/17/2015
188.40.253.62,Landing page IP used by Angler,12/17/2015
188.40.47.130,Landing page IP used by Angler,12/17/2015
192.95.15.208,Landing page IP used by Angler,12/17/2015
192.99.125.124,Landing page IP used by Angler,12/17/2015
192.99.125.125,Landing page IP used by Angler,12/17/2015
192.99.184.14,Landing page IP used by Angler,12/17/2015
192.99.184.15,Landing page IP used by Angler,12/17/2015
192.99.184.8,Landing page IP used by Angler,12/17/2015
192.99.184.9,Landing page IP used by Angler,12/17/2015
192.99.6.130,Landing page IP used by Angler,12/17/2015
194.58.121.86,Landing page IP used by Angler,12/17/2015
195.128.125.225,Landing page IP used by Angler,12/17/2015
195.64.155.168,Landing page IP used by Angler,12/17/2015
198.50.193.159,Landing page IP used by Angler,12/17/2015
204.45.251.196,Landing page IP used by Angler,12/17/2015
207.182.131.235,Landing page IP used by Angler,12/17/2015
207.182.131.236,Landing page IP used by Angler,12/17/2015
207.182.131.237,Landing page IP used by Angler,12/17/2015
207.182.131.238,Landing page IP used by Angler,12/17/2015
209.133.194.226,Landing page IP used by Angler,12/17/2015
209.133.194.227,Landing page IP used by Angler,12/17/2015
209.133.194.228,Landing page IP used by Angler,12/17/2015
209.133.213.14,Landing page IP used by Angler,12/17/2015
209.133.213.38,Landing page IP used by Angler,12/17/2015
209.133.214.46,Landing page IP used by Angler,12/17/2015
209.133.216.179,Landing page IP used by Angler,12/17/2015
209.133.216.180,Landing page IP used by Angler,12/17/2015
209.133.216.181,Landing page IP used by Angler,12/17/2015
212.109.219.16,Landing page IP used by Angler,12/17/2015
212.109.223.36,Landing page IP used by Angler,12/17/2015
213.133.101.76,Landing page IP used by Angler,12/17/2015
213.159.208.36,Landing page IP used by Angler,12/17/2015
213.159.209.98,Landing page IP used by Angler,12/17/2015
213.159.214.157,Landing page IP used by Angler,12/17/2015
213.159.214.186,Landing page IP used by Angler,12/17/2015
213.159.214.61,Landing page IP used by Angler,12/17/2015
213.159.214.69,Landing page IP used by Angler,12/17/2015
213.159.215.22,Landing page IP used by Angler,12/17/2015
217.12.203.191,Landing page IP used by Angler,12/17/2015
217.172.189.233,Landing page IP used by Angler,12/17/2015
217.172.189.234,Landing page IP used by Angler,12/17/2015
31.148.99.84,Landing page IP used by Angler,12/17/2015
31.184.198.20,Landing page IP used by Angler,12/17/2015
31.41.219.244,Landing page IP used by Angler,12/17/2015
45.32.236.158,Landing page IP used by Angler,12/17/2015
46.183.165.141,Landing page IP used by Angler,12/17/2015
46.183.165.18,Landing page IP used by Angler,12/17/2015
46.183.165.182,Landing page IP used by Angler,12/17/2015
46.183.165.28,Landing page IP used by Angler,12/17/2015
46.183.165.29,Landing page IP used by Angler,12/17/2015
46.183.165.30,Landing page IP used by Angler,12/17/2015
46.183.165.31,Landing page IP used by Angler,12/17/2015
46.183.165.33,Landing page IP used by Angler,12/17/2015
46.183.165.36,Landing page IP used by Angler,12/17/2015
46.30.46.177,Landing page IP used by Angler,12/17/2015
46.36.220.129,Landing page IP used by Angler,12/17/2015
46.4.195.38,Landing page IP used by Angler,12/17/2015
5.101.66.103,Landing page IP used by Angler,12/17/2015
5.101.66.66,Landing page IP used by Angler,12/17/2015
5.101.66.80,Landing page IP used by Angler,12/17/2015
5.101.66.92,Landing page IP used by Angler,12/17/2015
5.101.67.101,Landing page IP used by Angler,12/17/2015
5.101.67.103,Landing page IP used by Angler,12/17/2015
51.254.162.81,Landing page IP used by Angler,12/17/2015
51.255.115.241,Landing page IP used by Angler,12/17/2015
51.255.131.66,Landing page IP used by Angler,12/17/2015
51.255.146.65,Landing page IP used by Angler,12/17/2015
62.109.0.40,Landing page IP used by Angler,12/17/2015
62.109.1.117,Landing page IP used by Angler,12/17/2015
62.109.1.197,Landing page IP used by Angler,12/17/2015
62.109.10.189,Landing page IP used by Angler,12/17/2015
62.109.11.172,Landing page IP used by Angler,12/17/2015
62.109.15.39,Landing page IP used by Angler,12/17/2015
62.109.17.105,Landing page IP used by Angler,12/17/2015
62.109.17.78,Landing page IP used by Angler,12/17/2015
62.109.2.4,Landing page IP used by Angler,12/17/2015
62.109.20.33,Landing page IP used by Angler,12/17/2015
62.109.20.44,Landing page IP used by Angler,12/17/2015
62.109.20.47,Landing page IP used by Angler,12/17/2015
62.109.5.114,Landing page IP used by Angler,12/17/2015
62.109.5.119,Landing page IP used by Angler,12/17/2015
62.109.5.79,Landing page IP used by Angler,12/17/2015
62.109.6.131,Landing page IP used by Angler,12/17/2015
62.109.6.204,Landing page IP used by Angler,12/17/2015
62.109.6.210,Landing page IP used by Angler,12/17/2015
62.109.7.129,Landing page IP used by Angler,12/17/2015
62.109.8.93,Landing page IP used by Angler,12/17/2015
62.109.9.72,Landing page IP used by Angler,12/17/2015
62.213.67.17,Landing page IP used by Angler,12/17/2015
62.213.67.30,Landing page IP used by Angler,12/17/2015
62.213.67.50,Landing page IP used by Angler,12/17/2015
62.213.67.96,Landing page IP used by Angler,12/17/2015
64.251.13.190,Landing page IP used by Angler,12/17/2015
64.251.13.192,Landing page IP used by Angler,12/17/2015
64.251.13.193,Landing page IP used by Angler,12/17/2015
64.251.13.194,Landing page IP used by Angler,12/17/2015
65.111.190.139,Landing page IP used by Angler,12/17/2015
65.111.190.140,Landing page IP used by Angler,12/17/2015
65.111.190.144,Landing page IP used by Angler,12/17/2015
74.50.111.234,Landing page IP used by Angler,12/17/2015
74.50.111.235,Landing page IP used by Angler,12/17/2015
74.50.111.236,Landing page IP used by Angler,12/17/2015
78.24.222.119,Landing page IP used by Angler,12/17/2015
8.26.21.100,Landing page IP used by Angler,12/17/2015
8.26.21.101,Landing page IP used by Angler,12/17/2015
8.26.21.105,Landing page IP used by Angler,12/17/2015
8.26.21.97,Landing page IP used by Angler,12/17/2015
8.26.21.99,Landing page IP used by Angler,12/17/2015
80.78.251.179,Landing page IP used by Angler,12/17/2015
80.78.251.21,Landing page IP used by Angler,12/17/2015
80.78.253.121,Landing page IP used by Angler,12/17/2015
80.78.253.238,Landing page IP used by Angler,12/17/2015
80.87.195.80,Landing page IP used by Angler,12/17/2015
80.87.195.81,Landing page IP used by Angler,12/17/2015
80.87.195.82,Landing page IP used by Angler,12/17/2015
80.87.195.83,Landing page IP used by Angler,12/17/2015
82.146.44.188,Landing page IP used by Angler,12/17/2015
82.146.58.124,Landing page IP used by Angler,12/17/2015
82.146.62.208,Landing page IP used by Angler,12/17/2015
85.10.229.234,Landing page IP used by Angler,12/17/2015
85.143.218.244,Landing page IP used by Angler,12/17/2015
85.143.218.246,Landing page IP used by Angler,12/17/2015
85.143.219.212,Landing page IP used by Angler,12/17/2015
85.143.219.36,Landing page IP used by Angler,12/17/2015
85.143.220.105,Landing page IP used by Angler,12/17/2015
85.143.220.148,Landing page IP used by Angler,12/17/2015
85.25.106.13,Landing page IP used by Angler,12/17/2015
85.25.217.107,Landing page IP used by Angler,12/17/2015
85.25.41.27,Landing page IP used by Angler,12/17/2015
85.25.41.28,Landing page IP used by Angler,12/17/2015
85.25.41.29,Landing page IP used by Angler,12/17/2015
85.25.79.172,Landing page IP used by Angler,12/17/2015
85.25.79.173,Landing page IP used by Angler,12/17/2015
85.25.79.174,Landing page IP used by Angler,12/17/2015
86.105.235.127,Landing page IP used by Angler,12/17/2015
86.105.235.156,Landing page IP used by Angler,12/17/2015
86.107.42.119,Landing page IP used by Angler,12/17/2015
86.107.42.145,Landing page IP used by Angler,12/17/2015
86.107.42.177,Landing page IP used by Angler,12/17/2015
86.107.42.203,Landing page IP used by Angler,12/17/2015
86.107.42.251,Landing page IP used by Angler,12/17/2015
86.107.42.40,Landing page IP used by Angler,12/17/2015
86.107.42.48,Landing page IP used by Angler,12/17/2015
86.107.42.59,Landing page IP used by Angler,12/17/2015
86.107.42.68,Landing page IP used by Angler,12/17/2015
86.107.42.72,Landing page IP used by Angler,12/17/2015
86.107.42.78,Landing page IP used by Angler,12/17/2015
86.107.42.89,Landing page IP used by Angler,12/17/2015
86.107.42.99,Landing page IP used by Angler,12/17/2015
87.117.226.10,Landing page IP used by Angler,12/17/2015
89.45.249.21,Landing page IP used by Angler,12/17/2015
91.221.36.229,Landing page IP used by Angler,12/17/2015
91.231.86.140,Landing page IP used by Angler,12/17/2015
92.63.101.142,Landing page IP used by Angler,12/17/2015
92.63.102.51,Landing page IP used by Angler,12/17/2015
93.115.38.102,Landing page IP used by Angler,12/17/2015
93.115.38.106,Landing page IP used by Angler,12/17/2015
93.115.38.110,Landing page IP used by Angler,12/17/2015
93.115.38.123,Landing page IP used by Angler,12/17/2015
93.115.38.126,Landing page IP used by Angler,12/17/2015
93.115.38.131,Landing page IP used by Angler,12/17/2015
93.115.38.138,Landing page IP used by Angler,12/17/2015
93.115.38.148,Landing page IP used by Angler,12/17/2015
93.115.38.150,Landing page IP used by Angler,12/17/2015
93.189.42.21,Landing page IP used by Angler,12/17/2015
95.215.108.123,Landing page IP used by Angler,12/17/2015
95.215.108.130,Landing page IP used by Angler,12/17/2015
95.215.108.131,Landing page IP used by Angler,12/17/2015
95.215.108.182,Landing page IP used by Angler,12/17/2015
95.215.108.247,Landing page IP used by Angler,12/17/2015
95.215.108.249,Landing page IP used by Angler,12/17/2015
95.215.108.95,Landing page IP used by Angler,12/17/2015
188.227.74.75,Shadowed redirected used by Angler,12/17/2105
188.227.19.86,Shadowed redirected used by Angler,12/17/2105
185.104.8.50,301/302 Location redirect used by Angler,12/17/2015
31.184.192.206,EITest Redirect used by Angler,12/17/2015
85.143.220.153,Shadowed redirected used by Angler,12/17/2105
85.143.217.31,Shadowed redirected used by Angler,12/17/2105
85.143.219.167,Shadowed redirected used by Angler,12/17/2105
85.143.217.31,Shadowed redirected used by Angler,12/17/2105
85.143.220.95,Shadowed redirected used by Angler,12/17/2105
85.143.216.253,Shadowed redirected used by Angler,12/17/2105
85.143.220.44,Shadowed redirected used by Angler,12/17/2105
85.143.220.18,Shadowed redirected used by Angler,12/17/2105
85.143.219.200,Shadowed redirected used by Angler,12/17/2105
85.143.220.109,Shadowed redirected used by Angler,12/17/2105
85.143.217.50,Shadowed redirected used by Angler,12/17/2105
85.143.219.77,Shadowed redirected used by Angler,12/17/2105
85.143.219.65,Shadowed redirected used by Angler,12/17/2105
85.143.219.232,Shadowed redirected used by Angler,12/17/2105
85.143.219.163,Shadowed redirected used by Angler,12/17/2105
178.33.200.161,Shadowed redirected used by Angler,12/17/2105
46.161.2.73,Dynamic DNS redirect used by Angler,12/17/2015
207.182.131.235,301/302 Location redirect used by Angler,12/17/2015
87.193.23.40,IP used by INOCNATION (inocnation.com) current as of this date,12/15/2015
211.104.106.41,Previous IP used by INOCNATION (inocnation.com) used until Oct 2015,12/15/2015
202.172.32.160,IP used by INOCNATION (mail.cbppnews.com) current as of this date,12/15/2015
219.90.117.146,FTA-1021 Dersubi Research,10/24/2011
162.244.32.157,Nymaim/Gozi Module BackConnect Server,7/12/16
37.59.66.231,Andromeda,7/12/16
107.161.199.59,Dyre,7/12/16
107.181.174.68,Dyre,7/12/16
109.195.2.150,Dyre,7/12/16
109.196.1.13,Dyre,7/12/16
118.179.219.210,Dyre,7/12/16
132.255.212.105,Dyre,7/12/16
134.249.63.46,Dyre,7/12/16
150.129.49.11,Dyre,7/12/16
154.73.100.124,Dyre,7/12/16
154.73.140.26,Dyre,7/12/16
158.255.255.87,Dyre,7/12/16
172.242.228.68,Dyre,7/12/16
173.185.166.94,Dyre,7/12/16
173.252.50.124,Dyre,7/12/16
176.106.122.32,Dyre,7/12/16
176.109.58.78,Dyre,7/12/16
176.120.201.9,Dyre,7/12/16
176.56.24.229,Dyre,7/12/16
178.136.123.22,Dyre,7/12/16
178.168.109.92,Dyre,7/12/16
178.18.172.215,Dyre,7/12/16
178.219.10.23,Dyre,7/12/16
178.22.222.89,Dyre,7/12/16
179.49.117.33,Dyre,7/12/16
181.143.223.10,Dyre,7/12/16
181.143.49.146,Dyre,7/12/16
181.174.76.17,Dyre,7/12/16
181.189.152.131,Dyre,7/12/16
184.164.97.60,Dyre,7/12/16
185.31.33.98,Dyre,7/12/16
185.46.217.70,Dyre,7/12/16
185.49.68.145,Dyre,7/12/16
186.42.215.214,Dyre,7/12/16
186.46.185.174,Dyre,7/12/16
188.123.34.192,Dyre,7/12/16
188.123.34.203,Dyre,7/12/16
188.255.236.227,Dyre,7/12/16
188.255.241.22,Dyre,7/12/16
190.111.20.50,Dyre,7/12/16
190.151.95.243,Dyre,7/12/16
190.215.141.163,Dyre,7/12/16
190.63.152.74,Dyre,7/12/16
193.189.77.76,Dyre,7/12/16
194.12.117.68,Dyre,7/12/16
194.28.190.146,Dyre,7/12/16
194.28.190.167,Dyre,7/12/16
194.28.190.183,Dyre,7/12/16
194.28.190.84,Dyre,7/12/16
194.28.190.86,Dyre,7/12/16
194.28.190.88,Dyre,7/12/16
194.28.190.99,Dyre,7/12/16
194.28.191.144,Dyre,7/12/16
194.28.191.213,Dyre,7/12/16
195.206.254.15,Dyre,7/12/16
195.206.255.131,Dyre,7/12/16
195.34.206.204,Dyre,7/12/16
195.34.239.93,Dyre,7/12/16
196.2.10.17,Dyre,7/12/16
197.231.198.234,Dyre,7/12/16
197.254.104.166,Dyre,7/12/16
201.187.95.250,Dyre,7/12/16
203.189.148.116,Dyre,7/12/16
212.109.14.145,Dyre,7/12/16
212.182.101.2,Dyre,7/12/16
212.37.81.96,Dyre,7/12/16
212.62.58.238,Dyre,7/12/16
212.69.14.89,Dyre,7/12/16
212.89.237.65,Dyre,7/12/16
213.111.243.60,Dyre,7/12/16
213.87.54.111,Dyre,7/12/16
217.12.59.238,Dyre,7/12/16
217.23.194.237,Dyre,7/12/16
217.30.78.174,Dyre,7/12/16
31.28.115.88,Dyre,7/12/16
31.40.1.32,Dyre,7/12/16
31.41.90.230,Dyre,7/12/16
31.42.170.118,Dyre,7/12/16
37.232.185.114,Dyre,7/12/16
37.57.101.221,Dyre,7/12/16
38.124.169.163,Dyre,7/12/16
41.191.118.234,Dyre,7/12/16
41.203.118.202,Dyre,7/12/16
41.215.182.109,Dyre,7/12/16
41.75.67.249,Dyre,7/12/16
41.75.67.80,Dyre,7/12/16
41.75.68.226,Dyre,7/12/16
41.75.68.242,Dyre,7/12/16
41.77.130.160,Dyre,7/12/16
46.143.196.142,Dyre,7/12/16
46.149.253.52,Dyre,7/12/16
46.151.48.149,Dyre,7/12/16
46.151.48.184,Dyre,7/12/16
46.151.48.97,Dyre,7/12/16
46.151.49.128,Dyre,7/12/16
46.16.111.158,Dyre,7/12/16
46.167.219.231,Dyre,7/12/16
46.175.23.130,Dyre,7/12/16
46.180.147.50,Dyre,7/12/16
46.37.205.163,Dyre,7/12/16
46.44.28.44,Dyre,7/12/16
5.255.166.200,Dyre,7/12/16
51.254.98.180,Dyre,7/12/16
62.122.102.105,Dyre,7/12/16
62.122.69.137,Dyre,7/12/16
62.122.69.151,Dyre,7/12/16
62.122.69.159,Dyre,7/12/16
62.122.69.172,Dyre,7/12/16
62.182.33.16,Dyre,7/12/16
62.233.252.206,Dyre,7/12/16
62.233.252.247,Dyre,7/12/16
67.206.96.30,Dyre,7/12/16
67.206.97.238,Dyre,7/12/16
67.207.228.144,Dyre,7/12/16
67.219.166.113,Dyre,7/12/16
69.118.144.195,Dyre,7/12/16
69.146.233.162,Dyre,7/12/16
69.9.204.37,Dyre,7/12/16
75.134.44.251,Dyre,7/12/16
77.104.206.150,Dyre,7/12/16
77.234.235.48,Dyre,7/12/16
77.85.204.114,Dyre,7/12/16
77.95.192.36,Dyre,7/12/16
78.109.34.34,Dyre,7/12/16
78.58.131.116,Dyre,7/12/16
78.8.174.25,Dyre,7/12/16
80.234.34.137,Dyre,7/12/16
80.87.219.35,Dyre,7/12/16
83.168.164.18,Dyre,7/12/16
83.241.176.230,Dyre,7/12/16
84.16.54.22,Dyre,7/12/16
84.16.55.12,Dyre,7/12/16
84.16.55.122,Dyre,7/12/16
84.237.229.49,Dyre,7/12/16
85.192.165.229,Dyre,7/12/16
85.66.249.207,Dyre,7/12/16
87.116.153.216,Dyre,7/12/16
87.248.158.109,Dyre,7/12/16
88.208.22.210,Dyre,7/12/16
89.189.174.40,Dyre,7/12/16
89.250.145.129,Dyre,7/12/16
91.194.239.126,Dyre,7/12/16
91.194.254.222,Dyre,7/12/16
91.194.254.235,Dyre,7/12/16
91.232.157.139,Dyre,7/12/16
91.232.45.149,Dyre,7/12/16
91.238.74.70,Dyre,7/12/16
91.240.97.141,Dyre,7/12/16
91.242.53.142,Dyre,7/12/16
93.126.47.107,Dyre,7/12/16
93.184.71.88,Dyre,7/12/16
93.91.154.243,Dyre,7/12/16
94.180.109.121,Dyre,7/12/16
94.231.178.46,Dyre,7/12/16
95.143.131.73,Dyre,7/12/16
95.165.196.227,Dyre,7/12/16
95.67.88.84,Dyre,7/12/16
91.194.254.213,MacroDocs,7/12/16
91.194.254.80,MacroDocs,7/12/16
91.194.254.235,MacroDocs,7/12/16
91.194.254.222,MacroDocs,7/12/16
